question,category,answer_format,n_matches
What is the average rent price of all buildings that are located within 100 meters of a church compared to those further away in 1740?,spatial,a single number,1
What is the average building area of all buildings that are located within 100 meters of a church compared to those further away in 1808?,spatial,a single number,1
Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1
Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1
Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,yes or no,1
Is the building area correlated with the distance from the nearest square in 1808?,spatial,yes or no,1
Where are the houses densely located in 1740?,spatial,a single entity name,1
Where are the houses densely located in 1808?,spatial,a single entity name,1
Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,yes or no,0
Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,yes or no,0
How many people live within 100 meters of a church in 1740?,spatial,a single number,1
How many people live within 100 meters of a church in 1808?,spatial,a single number,1
"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2
"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2
"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2
"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2
How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1
How many buildings are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,1
Are the buildings located within 100 meters from San Marco more expensive than the buildings located within 100 meters from other squares in 1740?,spatial,yes or no,2
Are the buildings located within 100 meters from San Marco bigger than the buildings located within 100 meters from other squares in 1808?,spatial,yes or no,2
On average how far do people live from the squares in 1740?,spatial,a single number,1
On average how far do people live from the squares in 1808?,spatial,a single number,1
Which neighborhood has the highest density of different families in 1740?,spatial,a single entity name,0
Which neighborhood has the highest density of different families in 1808?,spatial,a single entity name,0
How many churches does each parish have on average in 1740?,spatial,a single number,1
How many churches does each district have on average in 1808?,spatial,a single number,1
Is there a significant difference in the rent prices for buildings within 100 meters from churches versus from squares in 1740?,spatial,yes or no,2
Is there a significant difference in the area of buildings within 100 meters from churches versus from squares in 1808?,spatial,yes or no,2
Which neighborhood contains the buildings with the highest rent price on average in 1740?,spatial,a single entity name,0
Which neighborhood contains the buildings with the largest area on average in 1808?,spatial,a single entity name,0
What is the name of the most densely populated square within 100 meters in 1740?,spatial,a single entity name,1
What is the name of the most densely populated square within 100 meters in 1808?,spatial,a single entity name,1
How many buildings are there per parish on average in 1740?,spatial,a single number,0
How many buildings are there per district on average in 1808?,spatial,a single number,0
What is the parish with the highest rent price in 1740?,spatial,a single entity name,0
What is the district with the largest buildings in 1808?,spatial,a single entity name,0
"Among all the parishes, what is the highest density of buildings with multiple functions in 1740?",spatial,a single number,0
"Among all the districts, what is the highest density of buildings with multiple functions in 1808?",spatial,a single number,0
What is the average rent price difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,a single number,0
What is the average size difference between the districts with the largest and the smalles buildings in 1808?,spatial,a single number,0
What is the most common function of buildings that are within 100 meters from a square in 1740?,function,a single entity name,1
What is the most common function of buildings that are within 100 meters from a square in 1808?,function,a single entity name,1
Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1740?,function,a single entity name,1
Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1808?,function,a single entity name,1
Are residential buildings more closely located to the squares than commercial buildings in 1740?,function,yes or no,2
Are residential buildings more closely located to the squares than commercial buildings in 1808?,function,yes or no,2
What is the average distance between workshops and their nearest square in 1740?,function,a single number,2
What is the average distance between workshops and their nearest square in 1808?,function,a single number,2
"On average, are buildings with multiple functions more expensive than the ones with a single function in 1740?",function,yes or no,0
"On average, are buildings with multiple functions larger than the ones with a single function in 1808?",function,yes or no,0
What is the most common combination of functions of multi-functional buildings in 1740?,function,a single entity name,0
What is the most common combination of functions of multi-functional buildings in 1808?,function,a single entity name,0
Is there a correlation between building functions and their proximity to the churches in 1740?,function,yes or no,1
Is there a correlation between building functions and their proximity to the churches in 1808?,function,yes or no,1
Which church is surrounded by the most diverse set of building functions in 1740?,function,a single entity name,1
Which church is surrounded by the most diverse set of building functions in 1808?,function,a single entity name,1
Is there a correlation between the number of building functions and the rent price in 1740?,function,yes or no,0
Is there a correlation between the number of building functions and the size of the building in 1808?,function,yes or no,0
Which square has the larges number of commercial buildings within 100 meters in the dataset in 1740?,function,a single entity name,2
Which square has the larges number of commercial buildings within 100 meters in the dataset in 1808?,function,a single entity name,2
Which family owns the most number of buildings in 1740?,personal,a single entity name,0
Which family owns the most number of buildings in 1808?,personal,a single entity name,0
Is there any correlation between the family name and the profession in 1740?,personal,yes or no,0
Which family owns the most number of buildings per parish in 1740?,personal,yes or no,0
Which family owns the most number of buildings per district in 1740?,personal,yes or no,0
How many lawyers are there in Venice in 1740?,personal,a single number,1
In which parish do lawyers own the most number of buildings in 1740?,personal,a single entity name,1
Is there a significant difference in rent prices based on the profession of the building owner in 1740?,personal,yes or no,0
What is the most common building functions of buildings owned by the same family in 1740?,personal,a single entity name,0
What is the most common building functions of buildings owned by the same family in 1808?,personal,a single entity name,0
What type of building is owned the most by lawyers in 1740?,personal,a single entity name,1
What type of building is owned the most by doctors in 1740?,personal,a single entity name,1
How many families were relocated by more than 1km from 1740 to 1808?,comparison,a single number,0
What is the average distance moved by families who owned buildings in both 1740 and 1808?,comparison,a single number,0
Which Location in Venice the families moved to the most from 1740 to 1808?,comparison,a single entity name,0
Which profession exhibited the highest rate of relocation compared to others from 1740 to 1808?,comparison,a single entity name,0
How many families own more buildings in 1808 than what they owned in 1740?,comparison,a single number,0
How many families relocated their buildings closer to squares from 1740 to 1808?,comparison,a single number,1
How many families relocated their buildings further away from squares from 1740 to 1808?,comparison,a single number,1
How many more buildings are located within 100 meters from squares in 1808 compared to 1740?,comparison,a single number,1
How many less buildings are located within 100 meters from squares in 1808 compared to 1740?,comparison,a single number,1
How many families present in Venice in 1740 still exist in 1808?,comparison,a single number,0
Which family increased the number of buildings they owned the most from 1740 to 1808?,comparison,a single entity name,0
How many building changed from residential to commercial use between 1740 and 1808?,comparison,a single number,4
How many buildings retained the same function across the two time periods?,comparison,a single number,0
How many new families appeared in Venice in 1808 that were not present in 1740?,comparison,a single number,0
Is there any decrease in the number of buildings held by a family on average from 1740 to 1808?,comparison,yes or no,0
Are there any families who moved closer to the churches in general from 1740 to 1808?,comparison,yes or no,1
Are there any families who moved further away from the churches in general from 1740 to 1808?,comparison,yes or no,1
"How many families who owned buildings in both 1740 and 1808 changed the type of buildings they owned?",comparison,a single number,0
Did any families transition from being tenants in 1740 to building owners in 1808?,comparison,a single entity name,0
Have the squares with the most number of commercial buildings within 100 meters changed from 1740 to 1808?,comparison,yes or no,3
How many buildings are located within 100 meters of a church in 1808 compared to 1740?,comparison,a single number,1
How many more buildings are located within 100 meters from the square of San Marco in 1808 compared to 1740?,comparison,a single number,1
What are the names of the most densely populated squares with the most number of buildings within 100 meters in both periods 1740 and 1808?,comparison,a single entity name,1
Which type of a building have been moved further away from the churches the most from 1740 to 1808?,comparison,a single entity name,1
Which type of a building have been moved closer to the churches the most from 1740 to 1808?,comparison,a single entity name,1
Did the number of buildings with more than one function increase over time from 1740 to 1808?,comparison,yes or no,0
Are there any parishes with more than 5 buildings owned by a single family in 1740?,spatial,yes or no,0
Are there any districts with more than 5 buildings owned by a single family in 1808?,spatial,yes or no,0
