id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
1,What is the average rent price of all buildings that are located within 100 meters from the closest church in 1740?,spatial,a single number,1,0,[],[],[],[],0
2,What is the average building area of all buildings that are located within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('building_area', 'building_area', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('landmark_type', 'landmark_type', 3)]","[False, True, True, True]",[],"[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
3,Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1,0,"[('square', 'landmark_type', 3), ('density of tenants', 'building_functions_count', 1), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1)]","[True, False, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'density of tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
4,Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1,0,"[('square', 'landmark_type', 3), ('density of buildings', 'building_functions_count', 2), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2)]","[True, False, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'density of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
5,Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,yes or no,1,0,"[('building rent price', 'rent_price', '1'), ('distance from the nearest square', 'landmark_type', '3')]","[True, False]",[],"[{'distance from the nearest square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type'}}]",0
6,Is the building area correlated with the distance from the nearest square in 1808?,spatial,yes or no,1,0,"[('building area', 'building_area', '2'), ('distance from the nearest square', 'landmark_name', '3'), ('distance from the nearest square', 'longitude', '2'), ('distance from the nearest square', 'latitude', '2')]","[True, False, False, False]",[],"[{'distance from the nearest square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name'}}, {'distance from the nearest square': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'distance from the nearest square': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",0
7,In which parish the houses are the most densely located in 1740?,spatial,a single entity name,1,1,"[('parish', 'parish', '1'), ('houses', 'building_functions', '1'), ('are the most densely located', 'building_functions_count', '1')]","[True, True, False]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}, {'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}]","[{'are the most densely located': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",2
8,In which district the houses are the most densely located in 1808?,spatial,a single entity name,1,1,"[('district', 'district', '2'), ('houses', 'building_functions', '2'), ('are the most densely located', 'building_area', '2')]","[True, True, False]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}]","[{'are the most densely located': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
9,In how many parishes there are more than 10 houses in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('houses', 'building_functions', 1), ('more than 10', 'building_functions_count', 1)]","[True, True, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}]",[],2
10,In how many parishes there are more than 1 school in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('more than 1 school', 'building_functions', 1)]","[True, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'more than 1 school': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}]",[],2
11,In how many parishes there are less than 10 shops in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('shops', 'building_functions', 1), ('shops', 'building_functions', 2), ('less than 10', 'building_functions_count', 1), ('less than 10', 'building_functions_count', 2)]","[True, True, True, True, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'shops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}, {'shops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['locale, magazzeno']}}]",[],3
12,In how many districts there are more than 10 houses in 1808?,spatial,a single number,1,1,"[('districts', 'district', '2'), ('houses', 'building_functions', '2'), ('more than 10', 'building_functions_count', '2')]","[True, True, True]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}]",[],1
13,In how many districts there are more than 1 school in 1808?,spatial,a single number,1,1,"[('districts', 'district', '2'), ('more than 1 school', 'building_functions', '2')]","[True, True]","[{'more than 1 school': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}]",[],1
14,In how many districts there are less than 10 shops in 1808?,spatial,a single number,1,1,"[('districts', 'district', 2), ('less than 10 shops', 'building_functions_count', 2)]","[True, True]",[],[],0
15,Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,yes or no,0,0,"[('low-rent buildings', 'rent_price', 1), ('less than average rent price', 'rent_price', 1), ('clustered in specific areas', 'parish', 1)]","[True, True, True]",[],[],0
16,Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,yes or no,0,0,"[('small buildings', 'building_functions', 2), ('smaller than average building size', 'building_area', 2), ('clustered in specific areas', 'district', 2)]","[True, True, True]","[{'small buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico', 'casa, corto, portico']}}]",[],1
