landmark_name,landmark_type,longitude,latitude,building_count
campiello della malvasia,square,12.3497984,45.4329065,50
campo santa margherita,square,12.3234482,45.434305,164
campo sant'anzolo,square,12.3319525,45.4342152,116
campo santa maria del giglio,square,12.3329024,45.4324274,160
campo san zaccaria,square,12.3431064,45.4345951,43
piazza san marco,square,12.3385068,45.4342611,182
piazzetta san marco,square,12.3396096,45.4337604,37
campo santi giovanni e paolo,square,12.3416758,45.4392211,86
fondamenta santa lucia,square,12.3213378,45.4407746,37
riva degli schiavoni,square,12.3433257,45.4338887,5
campo san bartolomeo,square,12.3368573,45.4376819,402
campo san salvador,square,12.3361501,45.43688,247
campo san maurizio,square,12.331588,45.4328103,138
campo santo stefano,square,12.3302134,45.4330928,100
campo san samuele,square,12.3278968,45.433487,145
campo san giuseppe,square,12.3569087,45.4300804,98
campo de l'arsenal,square,12.3498727,45.4345615,62
campo de santa giustina,square,12.3461005,45.4380393,85
campo san marcuola,square,12.3286849,45.4427031,71
campo san zan degolã ,square,12.3276788,45.4415183,154
campo san vidal,square,12.329422,45.4321966,48
campo de la salute,square,12.3349515,45.4306491,21
campiello barbaro,square,12.332246,45.4304544,131
corte del sabion,square,12.3311699,45.430005,161
campo de la maddalena,square,12.3311462,45.4431192,181
campo santa maria formosa,square,12.341037,45.4372965,184
campo san vio,square,12.3301799,45.4307831,80
campo san giacomo,square,12.3352369,45.4386849,563
corte del teatro,square,12.3348925,45.4363699,182
campo santa sofia,square,12.3347383,45.4406467,225
campo san marziale,square,12.332734,45.4437402,130
campiello de la scuola,square,12.3256837,45.4447084,400
campo san simon grando,square,12.3240477,45.4410881,100
campo san giovanni grisostomo,square,12.3372687,45.4393188,223
corte del tintor,square,12.3373131,45.4381687,351
campiello del vin,square,12.342503,45.4343989,126
corte bollani,square,12.345393,45.4349225,106
campo bandiera e moro,square,12.3466516,45.434605,144
campiello del piovan,square,12.3469645,45.4341196,151
corte soranzo,square,12.3481364,45.4355848,160
campo do pozzi,square,12.3485656,45.4361239,173
campo de le gorne,square,12.3491799,45.4356281,104
campo santa ternita,square,12.3487332,45.4372742,156
campo de la chiesa,square,12.3474567,45.4378686,95
campo de santa giustina detto de barbaria,square,12.345294,45.4384584,124
campo san lorenzo,square,12.3448987,45.4371544,37
campo san canzian,square,12.3383358,45.440155,194
campiello bruno crovato,square,12.3385939,45.43988,168
campiello santa maria nova,square,12.3386135,45.4396637,146
campo drio la chiesa,square,12.3370728,45.440507,337
campo santi apostoli,square,12.3365278,45.440382,356
campo de le erbe,square,12.3352127,45.4422347,288
corte de le candele,square,12.3378917,45.4431702,131
campo san leonardo,square,12.3268312,45.4435712,210
campo dei gesuiti,square,12.3384704,45.4431116,105
campo de gheto novo,square,12.3268873,45.4453254,338
campo san geremia,square,12.32495,45.4429576,110
campo san giacomo dall'orio,square,12.3275643,45.4400409,240
campiello del piovan,square,12.3273433,45.4402858,243
campo de le strope,square,12.3264994,45.4394409,238
campo sant'agostin,square,12.3283991,45.4387763,132
campo dei frari,square,12.326855,45.4369109,171
campo ruga,square,12.3571991,45.4337649,113
corte del bianco,square,12.357731,45.4330565,97
campo sant'agnese,square,12.3279756,45.4296683,81
corte dell'albero,square,12.3308054,45.4351018,117
campo san beneto,square,12.332436,45.4355436,115
campo daniele manin,square,12.3342529,45.435338,225
campiello del remer,square,12.3363189,45.4394111,214
corte dei preti,square,12.3248655,45.4362527,175
campo della guerra,square,12.3390051,45.43605,242
corte rubbi,square,12.3380699,45.4367189,300
campiello de la cason,square,12.3377675,45.4405121,245
fondamenta dei arsenalotti,square,12.3499261,45.4341564,85
campo santa marina,square,12.3393134,45.4384477,187
salizada san lio,square,12.3391842,45.4370689,202
campo sant' aponal,square,12.3323438,45.4378217,452
campo pisani,square,12.3303446,45.4324122,97
salizada san samuele,square,12.3294767,45.4342095,237
campo de la chiesa,square,12.3651478,45.4271661,0
campo santa maria del giglio,square,12.3329024,45.4324274,160
campo san stin,square,12.3269519,45.4379471,126
corte del morer,square,12.3313067,45.4290447,136
