parish,rent_price
ghetto nuovissimo,32.142857142857146
ghetto nuovo,27.68686868686869
ghetto vecchio,24.485915492957748
san barnaba,26.88468809073724
san baseggio,20.238341968911918
san basso,82.01869158878505
san benetto,58.416666666666664
san biasio,23.166666666666668
san boldo,45.10344827586207
san bortolomio,46.674418604651166
san cancian,42.064896755162245
san cassiano,36.694736842105264
san fantin,70.03125
san felice,38.83574879227053
san geremia,23.542039355992845
san giacomo dall'orio,15.772277227722773
san giovanni decollato,39.951219512195124
san giovanni elmosinario,26.20524017467249
san giovanni grisostomo,38.02097902097902
san giovanni in bragora,26.39830508474576
san giovanni nuovo,42.416666666666664
san gregorio,96.24401913875599
san lio,38.005524861878456
san luca,37.358108108108105
san lunardo,26.11764705882353
san marcilian,34.32661290322581
san marco,83.36666666666666
san marcuola,26.138114209827357
san martin,19.181818181818183
san mattio,31.72151898734177
san maurizio,58.575
san moise,44.57416267942584
san nicolo,12.445454545454545
san pantalon,30.56971153846154
san paternian,40.73913043478261
san pietro di castello,21.25
san polo,38.1140350877193
san raffael,18.868360277136258
san salvador,62.523809523809526
san samuel,29.024489795918367
san severo,69.86206896551724
san silvestro,32.55416666666667
san simon apostolo,21.197802197802197
san simon profeta,23.006872852233677
san stae,30.10810810810811
san stin,30.4375
san toma,28.533333333333335
san trovaso,29.868932038834952
san vidal,47.870370370370374
san vio,23.04
san ziminian,47.63238512035011
san zulian,48.09183673469388
sant'agnese,37.38582677165354
sant'agostin,46.666666666666664
sant'angelo,45.07692307692308
sant'antonino,38.495726495726494
sant'aponal,32.969162995594715
santa croce,25.2680412371134
santa fosca,44.3375
santa giustina,28.316384180790962
santa lucia,40.44897959183673
santa margherita,24.521367521367523
santa maria formosa,44.94170403587444
santa maria maddalena,24.295454545454547
santa maria mater domini,29.806818181818183
santa maria nova,39.310344827586206
santa maria zobenigo,51.43564356435643
santa marina,47.68780487804878
santa sofia,29.37425149700599
santa ternita,23.587209302325583
santi apostoli,45.491467576791806
