parish,count
ghetto nuovissimo,35
ghetto nuovo,99
ghetto vecchio,142
san barnaba,529
san baseggio,193
san basso,107
san benetto,36
san biasio,54
san boldo,29
san bortolomio,301
san cancian,339
san cassiano,380
san fantin,32
san felice,207
san geremia,559
san giacomo dall'orio,101
san giovanni decollato,41
san giovanni elmosinario,458
san giovanni grisostomo,143
san giovanni in bragora,236
san giovanni nuovo,216
san gregorio,209
san lio,181
san luca,296
san lunardo,51
san marcilian,248
san marco,60
san marcuola,753
san martin,374
san mattio,158
san maurizio,40
san moise,418
san nicolo,660
san pantalon,416
san paternian,92
san pietro di castello,832
san polo,228
san raffael,433
san salvador,231
san samuel,245
san severo,58
san silvestro,240
san simon apostolo,91
san simon profeta,291
san stae,111
san stin,96
san toma,150
san trovaso,412
san vidal,108
san vio,75
san ziminian,457
san zulian,196
sant'agnese,127
sant'agostin,63
sant'angelo,273
sant'antonino,117
sant'aponal,227
santa croce,388
santa fosca,80
santa giustina,177
santa lucia,49
santa margherita,234
santa maria formosa,446
santa maria maddalena,44
santa maria mater domini,88
santa maria nova,116
santa maria zobenigo,101
santa marina,205
santa sofia,334
santa ternita,344
santi apostoli,293
