parish,owner_family_name,building_count
ghetto nuovo,coneglian,6
ghetto nuovo,di mazo,9
ghetto nuovo,erz olin,6
ghetto nuovo,saraval,8
ghetto vecchio,capello,17
ghetto vecchio,coen,15
ghetto vecchio,contarini,7
ghetto vecchio,grimani,16
san barnaba,alberti,10
san barnaba,badoer,18
san barnaba,bernardo,30
san barnaba,bolani,6
san barnaba,canal,26
san barnaba,capello,12
san barnaba,cappello,22
san barnaba,carli,14
san barnaba,cinelli,10
san barnaba,contarini,12
san barnaba,da mosto,10
san barnaba,dolfin,16
san barnaba,foscarini,6
san barnaba,franceschi,12
san barnaba,inviani,10
san barnaba,marchesati,14
san barnaba,memo,14
san barnaba,patarol,14
san barnaba,polani,8
san barnaba,priuli,16
san barnaba,quati,6
san barnaba,rizzo,6
san barnaba,scotti,8
san barnaba,soranzo,8
san barnaba,torni,10
san barnaba,venier,6
san barnaba,vidman,12
san barnaba,zorzi,10
san baseggio,bonfadini,6
san baseggio,bragadin,7
san baseggio,canal,10
san baseggio,capello,12
san baseggio,cassetti,6
san baseggio,ferro,12
san baseggio,loredan ruzini priuli,14
san baseggio,michiel,6
san baseggio,molin,17
san baseggio,savorgnan,20
san baseggio,venier,10
san basso,aquisti,8
san basso,contarini,6
san basso,grimani,9
san basso,trevisan,8
san benetto,tiepolo,7
san benetto,venier,12
san biasio,contarini,8
san biasio,morosini,8
san biasio,nani,9
san bortolomio,canal,9
san bortolomio,gradenigo,7
san bortolomio,hertz,17
san bortolomio,loredan,6
san bortolomio,marcello,9
san bortolomio,morosini,22
san bortolomio,pisani,12
san bortolomio,rossi,10
san bortolomio,trevisan,18
san bortolomio,venier,6
san cancian,balbi,10
san cancian,bon,10
san cancian,gradenigo,36
san cancian,grimani,9
san cancian,morosini,24
san cancian,pisani,10
san cancian,tiepolo,12
san cancian,trevisan,13
san cancian,zen,7
san cassiano,badoer,7
san cassiano,balbi,6
san cassiano,barbarigo,20
san cassiano,contarini,9
san cassiano,duodo,8
san cassiano,foscari,18
san cassiano,grassi,6
san cassiano,grimani,17
san cassiano,guerra,7
san cassiano,loredan,23
san cassiano,morosini,14
san cassiano,sardi,9
san cassiano,vanella ferretti,8
san cassiano,venier,17
san fantin,grimani,6
san felice,bembo,7
san felice,dona,9
san felice,duodo,6
san felice,priuli,6
san felice,tomasini,9
san felice,venier,10
san geremia,abriani,8
san geremia,altobello,6
san geremia,badoer,12
san geremia,baggio,6
san geremia,balbi,12
san geremia,bodesson,12
san geremia,bonfadini,6
san geremia,bonfandin,11
san geremia,bragadin,11
san geremia,calvi,10
san geremia,caratti,7
san geremia,contarini,34
san geremia,curti,10
san geremia,da mosto,6
san geremia,da pesaro,7
san geremia,duodo,8
san geremia,foscarini,10
san geremia,magno,6
san geremia,michiel,16
san geremia,pasqualigo,7
san geremia,pellegrini,6
san geremia,pisani,6
san geremia,querini,14
san geremia,raspi,11
san geremia,savorgnan,9
san geremia,scalfarotto,7
san geremia,testa,27
san geremia,tiepolo,7
san geremia,trevisan,20
san geremia,venier,9
san giacomo dall'orio,badoer,12
san giacomo dall'orio,corner,7
san giacomo dall'orio,ghirardi,9
san giacomo dall'orio,loredan,9
san giovanni decollato,giovanelli,6
san giovanni elmosinario,barbarigo,8
san giovanni elmosinario,canal,6
san giovanni elmosinario,capelo,8
san giovanni elmosinario,contarini,12
san giovanni elmosinario,corner,7
san giovanni elmosinario,da riva,19
san giovanni elmosinario,dolfin,7
san giovanni elmosinario,giustinian,10
san giovanni elmosinario,lin,11
san giovanni elmosinario,mocenigo,7
san giovanni elmosinario,molin,14
san giovanni elmosinario,morosini,16
san giovanni elmosinario,pisani,10
san giovanni elmosinario,priuli,11
san giovanni elmosinario,querini,23
san giovanni elmosinario,riva,6
san giovanni elmosinario,valier bembo,6
san giovanni elmosinario,zen,10
san giovanni elmosinario,zulian,15
san giovanni grisostomo,barbarigo,6
san giovanni grisostomo,ciuran,11
san giovanni grisostomo,corner,13
san giovanni grisostomo,correggio,11
san giovanni grisostomo,ferri,9
san giovanni grisostomo,foscarini,16
san giovanni grisostomo,pisani,6
san giovanni grisostomo,valmarana pisani,7
san giovanni in bragora,barbarigo,20
san giovanni in bragora,contini,9
san giovanni in bragora,erizzo,27
san giovanni in bragora,foscarini,28
san giovanni in bragora,gabrieli,11
san giovanni in bragora,longo,6
san giovanni in bragora,loredan,9
san giovanni in bragora,moretti,6
san giovanni in bragora,morosini,13
san giovanni in bragora,tiepolo,11
san giovanni nuovo,basadonna,10
san giovanni nuovo,corner,6
san giovanni nuovo,michiel,34
san giovanni nuovo,mocenigo,7
san giovanni nuovo,sardi,10
san gregorio,bollani,8
san gregorio,donini,9
san gregorio,verdi,6
san lio,dandolo,7
san lio,duodo,21
san lio,gritti,15
san lio,massarini,6
san lio,sardi,6
san luca,biondi,12
san luca,calbo,16
san luca,dandolo,17
san luca,falier corner,9
san luca,foscari,14
san luca,giustinian,11
san luca,loredan,6
san luca,manzoni,8
san luca,michielli,13
san luca,mocenigo,13
san luca,nani,14
san luca,pasqualigo,13
san luca,renier,6
san luca,savorgnian,6
san luca,scotti,11
san luca,valeresso,7
san luca,vitturi,9
san lunardo,giovanelli,19
san lunardo,querini,9
san marcilian,bembo,16
san marcilian,benci,19
san marcilian,filippini,7
san marcilian,groppi,9
san marcilian,lipamano,8
san marcilian,perrazzo,6
san marcilian,zen,18
san marco,pisani,8
san marcuola,alberegno,20
san marcuola,balbi,6
san marcuola,barbarigo,6
san marcuola,bembo,7
san marcuola,bonfadini,10
san marcuola,contarini,20
san marcuola,corner,18
san marcuola,cossalli,9
san marcuola,dolfin,29
san marcuola,donini,9
san marcuola,foscari,6
san marcuola,gradenigo,12
san marcuola,grimani,54
san marcuola,grimani de servi,40
san marcuola,memo,14
san marcuola,michiel,47
san marcuola,mora,7
san marcuola,moro zen,26
san marcuola,morosini,9
san marcuola,nani,8
san marcuola,perazzo,14
san marcuola,priuli,10
san marcuola,querini,15
san marcuola,renier,7
san marcuola,rubini,8
san marcuola,tiepolo,9
san marcuola,vendramin,20
san marcuola,vidali,6
