district,owner_family_name,building_count
cannaregio,albengo,10
cannaregio,alberti,6
cannaregio,albrizzi,24
cannaregio,almeda levi,6
cannaregio,angaran,11
cannaregio,anselmi,11
cannaregio,arrigoni,20
cannaregio,astori,13
cannaregio,avvanzetti,6
cannaregio,bacchi,10
cannaregio,bachi,7
cannaregio,badoer,10
cannaregio,balbi,84
cannaregio,barbarigo,6
cannaregio,barbaro,21
cannaregio,baroni,7
cannaregio,battagia,17
cannaregio,battaglia,6
cannaregio,bellato,10
cannaregio,bembo,33
cannaregio,beregan,6
cannaregio,berlendis,13
cannaregio,bernardi,12
cannaregio,berti,10
cannaregio,boerio,6
cannaregio,boldù,14
cannaregio,bonetti,10
cannaregio,bonfadini,26
cannaregio,bonicelli,12
cannaregio,bontempo gradenigo,13
cannaregio,bortolotti,12
cannaregio,bragadin,15
cannaregio,bravetti,8
cannaregio,caldiera,20
cannaregio,calvi,8
cannaregio,cantoni,11
cannaregio,caotorta,11
cannaregio,capello,13
cannaregio,caresana rotta,7
cannaregio,carminati,7
cannaregio,carrara,8
cannaregio,cataneo,6
cannaregio,civran,9
cannaregio,clementi,8
cannaregio,cobres,8
cannaregio,codognato,10
cannaregio,codognola,11
cannaregio,coen porto,7
cannaregio,coledani,7
cannaregio,coletti,14
cannaregio,condulmer,13
cannaregio,connegliano,9
cannaregio,contarini,86
cannaregio,corner,74
cannaregio,corner renier,13
cannaregio,correr,11
cannaregio,costantini,9
cannaregio,crotta,8
cannaregio,curnis,8
cannaregio,da ponte,6
cannaregio,dall'asta,9
cannaregio,diedo,6
cannaregio,dolfin,33
cannaregio,donà,31
cannaregio,duodo,15
cannaregio,duprè,6
cannaregio,emo,6
cannaregio,erizo,23
cannaregio,erizzo,28
cannaregio,fabris,6
cannaregio,falier,9
cannaregio,ferrari,14
cannaregio,ferri,19
cannaregio,fischer,6
cannaregio,fontana,15
cannaregio,foscari,11
cannaregio,foscarini,33
cannaregio,foscolo,11
cannaregio,freo bon,6
cannaregio,garelli,8
cannaregio,gavazzi,7
cannaregio,gerardi,8
cannaregio,giovanelli,55
cannaregio,giustinian,11
cannaregio,giustinian recanati,6
cannaregio,gradenigo,38
cannaregio,grassi,6
cannaregio,grifalconi,7
cannaregio,grimani,148
cannaregio,gritti,22
cannaregio,guizzetti,10
cannaregio,labia,21
cannaregio,latis,8
cannaregio,lipomano,8
cannaregio,lippomano,6
cannaregio,loredan,8
cannaregio,lucatelli,11
cannaregio,luzzato,16
cannaregio,malipiero,21
cannaregio,malta,31
cannaregio,manfredo,6
cannaregio,manfrini,6
cannaregio,manin,25
cannaregio,manolesso,9
cannaregio,marcello,12
cannaregio,marchi,6
cannaregio,marini,11
cannaregio,marioni,41
cannaregio,martinelli,10
cannaregio,martinengo,10
cannaregio,maruzzi,9
cannaregio,massa,7
cannaregio,memmo,19
cannaregio,memo,10
cannaregio,michieli,28
cannaregio,mocenigo,34
cannaregio,molin,39
cannaregio,mora,35
cannaregio,moretti,8
cannaregio,moro,48
cannaregio,morosini,44
cannaregio,mozenigo,8
cannaregio,namias,9
