building_functions_count,rent_price
2,70.0
1,60.0
1,4.0
2,70.0
1,22.0
1,100.0
1,180.0
1,42.0
1,42.0
1,80.0
1,60.0
1,24.0
1,24.0
1,15.0
1,10.0
2,53.0
1,16.0
2,30.0
1,12.0
1,14.0
1,9.0
1,46.0
1,230.0
1,106.0
1,85.0
1,80.0
1,74.0
1,32.0
2,10.0
1,50.0
1,20.0
1,30.0
1,5.0
1,24.0
1,130.0
1,135.0
1,180.0
1,12.0
1,20.0
1,56.0
1,27.0
1,50.0
1,26.0
1,6.0
2,30.0
1,50.0
2,120.0
2,105.0
1,76.0
2,130.0
1,70.0
1,20.0
1,28.0
1,90.0
1,110.0
1,90.0
1,90.0
2,60.0
2,42.0
2,90.0
1,26.0
1,40.0
1,160.0
1,240.0
1,100.0
1,94.0
1,250.0
1,25.0
1,25.0
1,25.0
1,15.0
1,20.0
1,20.0
1,12.0
1,12.0
1,240.0
1,62.0
1,12.0
1,28.0
1,28.0
1,35.0
1,50.0
2,18.0
2,44.0
2,48.0
2,40.0
1,35.0
1,35.0
1,11.0
1,26.0
1,10.0
1,26.0
1,26.0
1,48.0
1,40.0
1,32.0
1,14.0
1,30.0
1,14.0
1,160.0
1,14.0
1,50.0
1,55.0
2,16.0
1,55.0
1,66.0
2,14.0
1,12.0
1,60.0
1,15.0
1,46.0
1,61.0
1,12.0
1,40.0
1,26.0
1,12.0
1,21.0
1,18.0
1,21.0
1,8.0
1,15.0
1,14.0
1,14.0
1,28.0
1,10.0
1,28.0
1,28.0
1,30.0
2,22.0
1,10.0
1,14.0
1,10.0
1,14.0
1,36.0
1,32.0
1,30.0
1,36.0
1,34.0
1,36.0
1,34.0
1,20.0
1,12.0
1,14.0
1,16.0
1,20.0
1,18.0
1,11.0
1,15.0
1,14.0
1,80.0
1,26.0
1,18.0
1,22.0
1,10.0
1,10.0
1,12.0
1,66.0
1,4.0
1,18.0
1,16.0
1,18.0
1,40.0
1,41.0
1,40.0
1,16.0
1,8.0
1,12.0
1,18.0
1,24.0
1,26.0
1,40.0
1,26.0
1,12.0
2,16.0
2,48.0
2,54.0
2,40.0
1,40.0
1,20.0
1,20.0
1,12.0
1,42.0
1,8.0
1,59.0
1,26.0
1,16.0
1,15.0
1,22.0
1,24.0
1,12.0
1,17.0
1,16.0
2,12.0
1,24.0
1,74.0
1,40.0
1,24.0
1,24.0
1,40.0
1,40.0
1,12.0
1,10.0
1,70.0
1,12.0
1,20.0
1,20.0
2,31.0
1,8.0
1,14.0
1,8.0
1,12.0
1,30.0
1,24.0
1,36.0
1,12.0
1,22.0
1,53.0
1,30.0
1,36.0
1,10.0
1,40.0
1,40.0
1,16.0
1,16.0
1,45.0
1,36.0
1,58.0
1,9.0
1,8.0
1,8.0
2,14.0
1,28.0
1,16.0
1,13.0
1,26.0
1,18.0
1,14.0
1,12.0
1,12.0
1,20.0
1,24.0
1,18.0
2,24.0
1,12.0
1,10.0
1,16.0
2,40.0
1,36.0
1,51.0
1,36.0
1,58.0
1,34.0
1,14.0
1,40.0
1,12.0
1,10.0
1,16.0
2,36.0
1,36.0
1,20.0
1,30.0
1,65.0
1,35.0
1,10.0
1,32.0
1,30.0
1,32.0
1,32.0
1,54.0
1,56.0
1,32.0
1,52.0
1,52.0
1,32.0
2,22.0
1,50.0
1,52.0
1,56.0
1,50.0
1,60.0
1,50.0
1,60.0
1,60.0
1,60.0
1,80.0
1,80.0
1,44.0
2,56.0
1,47.0
1,63.0
1,64.0
1,56.0
1,115.0
1,108.0
1,70.0
1,30.0
1,30.0
2,62.0
1,6.0
1,46.0
1,44.0
1,26.0
1,36.0
1,48.0
1,14.0
1,36.0
1,60.0
1,310.0
1,27.0
1,5.0
1,4.0
1,10.0
1,10.0
1,12.0
1,6.0
1,50.0
1,150.0
1,90.0
1,10.0
1,10.0
1,42.0
1,22.0
1,18.0
1,48.0
1,74.0
1,24.0
1,44.0
1,14.0
1,52.0
1,60.0
1,176.0
1,200.0
1,100.0
1,100.0
1,330.0
1,14.0
1,50.0
1,46.0
1,32.0
1,56.0
1,30.0
1,50.0
1,45.0
1,40.0
1,30.0
1,65.0
1,40.0
1,53.0
1,32.0
2,16.0
1,15.0
1,60.0
1,100.0
1,95.0
1,90.0
1,60.0
1,70.0
1,9.0
1,22.0
1,65.0
1,18.0
1,12.0
1,12.0
1,10.0
1,14.0
1,23.0
1,28.0
1,12.0
1,34.0
1,35.0
1,30.0
1,40.0
1,30.0
1,16.0
1,24.0
2,20.0
1,32.0
1,50.0
2,70.0
1,15.0
1,180.0
1,13.0
1,67.0
1,18.0
3,32.0
1,14.0
1,58.0
1,42.0
1,12.0
1,42.0
1,24.0
1,40.0
1,24.0
1,10.0
1,26.0
1,38.0
1,12.0
1,34.0
2,20.0
1,11.0
1,85.0
1,56.0
1,40.0
1,12.0
1,40.0
1,12.0
1,42.0
1,60.0
1,70.0
1,60.0
1,26.0
1,32.0
1,30.0
1,55.0
1,20.0
1,90.0
2,100.0
2,18.0
