square_name,commercial_count
campiello della malvasia,2
campo santa margherita,1
campo sant'anzolo,3
campo santa maria del giglio,3
campo san zaccaria,0
piazza san marco,18
piazzetta san marco,0
campo santi giovanni e paolo,7
fondamenta santa lucia,0
riva degli schiavoni,0
campo san bartolomeo,34
campo san salvador,16
campo san maurizio,1
campo santo stefano,1
campo san samuele,4
campo san giuseppe,0
campo de l'arsenal,1
campo de santa giustina,0
campo san marcuola,0
campo san zan degolã ,0
campo san vidal,1
campo de la salute,0
campiello barbaro,1
corte del sabion,1
campo de la maddalena,2
campo santa maria formosa,2
campo san vio,0
campo san giacomo,18
corte del teatro,14
campo santa sofia,7
campo san marziale,0
campiello de la scuola,14
campo san simon grando,3
campo san giovanni grisostomo,19
corte del tintor,32
campiello del vin,6
corte bollani,6
campo bandiera e moro,4
campiello del piovan,0
corte soranzo,2
campo do pozzi,0
campo de le gorne,0
campo santa ternita,0
campo de la chiesa,0
campo de santa giustina detto de barbaria,2
campo san lorenzo,1
campo san canzian,7
campiello bruno crovato,2
campiello santa maria nova,2
campo drio la chiesa,5
campo santi apostoli,3
campo de le erbe,3
corte de le candele,0
campo san leonardo,3
campo dei gesuiti,0
campo de gheto novo,3
campo san geremia,1
campo san giacomo dall'orio,0
campo de le strope,1
campo sant'agostin,1
campo dei frari,1
campo ruga,0
corte del bianco,0
campo sant'agnese,2
corte dell'albero,0
campo san beneto,1
campo daniele manin,4
campiello del remer,14
corte dei preti,2
campo della guerra,9
corte rubbi,17
campiello de la cason,7
fondamenta dei arsenalotti,2
campo santa marina,11
salizada san lio,8
campo sant' aponal,11
campo pisani,0
salizada san samuele,4
campo san stin,1
corte del morer,2
