owner_family_name,building_functions
abiati,casa
aboaf,"casa,casa,casa"
abonacar,casa
aboracan,casa
abriani,"casa,casa,casa,casa,casa, portico,appartamento, casa,appartamento, casa,appartamento, casa,casa"
acerbi,"casa,bottega"
acquisti,"casetta,bottega,bottega"
agazi,"magazzeno,casa,casa,casa"
agazzi,"casa,bottega,casa,bottega"
aglio,bottega
albanese,casa
albanese griffalconi,"bottega,casa"
albegnacan,"casa,casa"
alberegno,"casetta,casetta,casetta,casa,casa,casa,casa,casa,casa,bottega,bottega,bottega,bottega, casa,bottega, casa,casetta,casetta,casetta,casa,casa,casa"
albergoni,"casetta,casa,casa,casa,casa,casa,magazzeno,volta,volta"
alberti,"bottega, casa,casa,casa,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,bottega, tagliapietra,casa,casa,bottega, casa,casa,casa"
alberti nani,"bottega, casa"
alberti querini,"bottega, casa"
albertini,casetta
albertis,casa
albignoni,casa
albini,"casa,casotto,appartamento, casa,appartamento, casa,casa"
alboto,casa
albriani,casa
albricci,casetta
albrici,"casa,casa,bottega,bottega,bottega,bottega,bottega,bottega, casa,bottega"
albrigoni,"orto, palazzo,casa"
albrizzi,"bottega,bottega,bottega,casa,casa,casa,casa,bottega, volta,bottega, volta,bottega, volta,bottega, volta"
alciati,"casa,casa,casa,casa,casa,casa,casa,casa"
aldi,"casa,casa"
alemanni,casa
algarotti,"casa,magazzeno,magazzeno,bottega, volta,bottega, volta,bottega, volta,bottega, casa"
alimani,casa
aliprandi,casa
alison,"casa,casa,casa"
allegri,casa
almeda,casa
alpron,casa
altieri,"casa, squero,casa"
altobello,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casa,casa,bottega,volta"
alviati,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
alvini,casa
amadio,"casa,bottega,casa,bottega, volta,bottega, volta,bottega, volta"
ambrosi,casetta
ambrosoni,"casa,casa,casa,casa,casa,casa"
amigoni,"casa,bottega,bottega, casa,casa,casetta,casetta,bottega,bottega"
anatur,bottega
andreuzzi,casa
andriani,"casa,casa"
andriuzzi,bottega
angaran,"casetta,magazzeno,casa"
angaron,casa
angeli,"casa,casa,casa,casa,casa,casa"
angeli isdrael,casa
angelini,"bottega, casa,casa,bottega"
angeloni,"magazzeno,bottega,bottega,bottega"
anichini,"casa,casa,bottega, casa"
annichini,"casa,casa,bottega"
anselmi,bottega
antedata,casetta
antelmi,"casa,casa,casa,casa,casa,bottega,casa,casa,casa,bottega"
antenon,casa
antonelli,casa
apostoli,"bottega,bottega"
appiana,"casa,casa,casa"
aquilina,bottega
aquisti,"casa,casetta,casa,bottega,casa,magazzeno,magazzeno,casa,bottega, casa,bottega,bottega, casa,bottega"
aquisti michiel,"casa, forno,forno,bottega, casa"
aram,"casa,bottega"
arcaini,"casa,casa"
arcangeli,"casa,casa"
ardentghi,volta
argnelli dente,"bottega,casa"
arigoni,"casa,casa,casa,casa,casa,casa,casa,magazzeno,casa,casa,casa,casa,casa,bottega, casa,casetta,casetta,magazzeno,bottega,bottega,casa"
arizi,magazzeno
armani,"magazzeno,casa,casa,casa,casa,casa,bottega, casa, orto,casa,casa,casa,casa,casa"
armati,"bottega, casa,magazzeno,bottega,bottega,bottega, casa"
armelini,casa
aron,casa
arrigoni,"casa,magazzeno,casa,bottega, casa,appartamento, casa,bottega, casetta,casa,bottega, casa,casa,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
