owner_family_name,count_1740,count_1808,increase
abiati,1.0,0.0,-1.0
aboaf,3.0,0.0,-3.0
abonacar,1.0,0.0,-1.0
aboracan,1.0,0.0,-1.0
abriani,9.0,0.0,-9.0
acerbi,2.0,4.0,2.0
acquisti,3.0,13.0,10.0
agazi,4.0,3.0,-1.0
agazzi,4.0,0.0,-4.0
aglio,1.0,0.0,-1.0
albanese,1.0,0.0,-1.0
albanese griffalconi,2.0,0.0,-2.0
albegnacan,2.0,0.0,-2.0
alberegno,20.0,0.0,-20.0
albergoni,9.0,2.0,-7.0
alberti,24.0,14.0,-10.0
alberti nani,1.0,0.0,-1.0
alberti querini,1.0,0.0,-1.0
albertini,1.0,2.0,1.0
albertis,1.0,0.0,-1.0
albignoni,1.0,0.0,-1.0
albini,5.0,1.0,-4.0
alboto,1.0,0.0,-1.0
albriani,1.0,0.0,-1.0
albricci,1.0,0.0,-1.0
albrici,9.0,0.0,-9.0
albrigoni,2.0,0.0,-2.0
albrizzi,11.0,106.0,95.0
alciati,8.0,0.0,-8.0
aldi,2.0,0.0,-2.0
alemanni,1.0,0.0,-1.0
algarotti,7.0,0.0,-7.0
alimani,1.0,0.0,-1.0
aliprandi,1.0,3.0,2.0
alison,3.0,0.0,-3.0
allegri,1.0,0.0,-1.0
almeda,1.0,4.0,3.0
alpron,1.0,8.0,7.0
altieri,2.0,0.0,-2.0
altobello,23.0,0.0,-23.0
alviati,25.0,0.0,-25.0
alvini,1.0,0.0,-1.0
amadio,6.0,0.0,-6.0
ambrosi,1.0,5.0,4.0
ambrosoni,6.0,0.0,-6.0
amigoni,8.0,0.0,-8.0
anatur,1.0,0.0,-1.0
andreuzzi,1.0,0.0,-1.0
andriani,2.0,0.0,-2.0
andriuzzi,1.0,6.0,5.0
angaran,3.0,38.0,35.0
angaron,1.0,0.0,-1.0
angeli,6.0,14.0,8.0
angeli isdrael,1.0,0.0,-1.0
angelini,3.0,3.0,0.0
angeloni,4.0,8.0,4.0
anichini,3.0,0.0,-3.0
annichini,3.0,0.0,-3.0
anselmi,1.0,11.0,10.0
antedata,1.0,0.0,-1.0
antelmi,10.0,0.0,-10.0
antenon,1.0,0.0,-1.0
antonelli,1.0,6.0,5.0
apostoli,2.0,0.0,-2.0
appiana,3.0,0.0,-3.0
aquilina,1.0,0.0,-1.0
aquisti,12.0,2.0,-10.0
aquisti michiel,3.0,0.0,-3.0
aram,2.0,0.0,-2.0
arcaini,2.0,0.0,-2.0
arcangeli,2.0,0.0,-2.0
ardentghi,1.0,0.0,-1.0
argnelli dente,2.0,0.0,-2.0
arigoni,20.0,3.0,-17.0
arizi,1.0,0.0,-1.0
armani,12.0,3.0,-9.0
armati,5.0,10.0,5.0
armelini,1.0,2.0,1.0
aron,1.0,4.0,3.0
arrigoni,20.0,30.0,10.0
arrigoni lardoni,9.0,0.0,-9.0
artman,3.0,0.0,-3.0
assonica,6.0,0.0,-6.0
astori,13.0,36.0,23.0
astori baroni,2.0,0.0,-2.0
astori nani,1.0,0.0,-1.0
atardi,1.0,0.0,-1.0
avanzzi,2.0,0.0,-2.0
azzo,1.0,0.0,-1.0
babolin,1.0,0.0,-1.0
bacchi,1.0,10.0,9.0
bacciol,1.0,0.0,-1.0
badini,2.0,0.0,-2.0
badoer,91.0,46.0,-45.0
badoer mocengio,2.0,0.0,-2.0
badoer mocenico,1.0,0.0,-1.0
badoer mocenigo,62.0,0.0,-62.0
badoer morreni,1.0,0.0,-1.0
badoera,2.0,0.0,-2.0
badoera mocenigo,1.0,0.0,-1.0
badover,1.0,1.0,0.0
baffai,1.0,0.0,-1.0
baffini,1.0,5.0,4.0
baggio,8.0,0.0,-8.0
baglioni,9.0,28.0,19.0
bagosi,1.0,0.0,-1.0
bagozzi,1.0,0.0,-1.0
balandan,1.0,2.0,1.0
balarin,1.0,0.0,-1.0
balbi,109.0,197.0,88.0
balbi barbo,21.0,0.0,-21.0
balbi venturini,1.0,0.0,-1.0
baldan,1.0,1.0,0.0
baldi,1.0,2.0,1.0
baldo,3.0,0.0,-3.0
ballarin,1.0,1.0,0.0
ballarin barbarigo,8.0,0.0,-8.0
ballarini,1.0,3.0,2.0
ballarini barbarigo,1.0,0.0,-1.0
ballovich,1.0,0.0,-1.0
bandiera,2.0,1.0,-1.0
banzi,1.0,0.0,-1.0
barabo,1.0,0.0,-1.0
baratti,5.0,0.0,-5.0
barbabo,1.0,0.0,-1.0
barbano,2.0,0.0,-2.0
barbaran,5.0,7.0,2.0
barbarana,1.0,0.0,-1.0
barbari,1.0,0.0,-1.0
barbariga dolfin,1.0,0.0,-1.0
barbarigho,5.0,0.0,-5.0
barbarigo,263.0,64.0,-199.0
barbarigo balanin,1.0,0.0,-1.0
barbarigo balbi,1.0,0.0,-1.0
barbarigo bembo,4.0,0.0,-4.0
barbarigo bollani ballarini,1.0,0.0,-1.0
barbarigo dolfin,13.0,0.0,-13.0
barbarigo giusti,1.0,0.0,-1.0
barbarigo michiel,1.0,0.0,-1.0
barbarigo rubini,2.0,0.0,-2.0
barbarigo valier,1.0,0.0,-1.0
barbarigo vendramin,1.0,0.0,-1.0
barbaro,98.0,121.0,23.0
barbaro bragadin,1.0,0.0,-1.0
barbera lombardo,1.0,0.0,-1.0
barberan,5.0,0.0,-5.0
barbizzani,1.0,0.0,-1.0
barcella,1.0,1.0,0.0
bardelli,1.0,0.0,-1.0
barera,1.0,0.0,-1.0
baretta,2.0,1.0,-1.0
baricchia,1.0,0.0,-1.0
barich,1.0,0.0,-1.0
barlendis,1.0,0.0,-1.0
barocci,2.0,0.0,-2.0
baroci,4.0,0.0,-4.0
baroncelli,6.0,23.0,17.0
baroni fenestreri,1.0,0.0,-1.0
baronzelli,1.0,0.0,-1.0
barozzi,1.0,11.0,10.0
barrini,1.0,0.0,-1.0
barroni,1.0,0.0,-1.0
bartieri,2.0,0.0,-2.0
bartoli,1.0,0.0,-1.0
bartolotti,2.0,0.0,-2.0
bartuali,1.0,0.0,-1.0
baruch,5.0,0.0,-5.0
baruch caravaglio,1.0,0.0,-1.0
basadona,32.0,0.0,-32.0
basadonna,53.0,0.0,-53.0
basadonna contarini,3.0,0.0,-3.0
basadonna contarini gradenigo,5.0,0.0,-5.0
basadonna gradenigo,1.0,0.0,-1.0
basagli,1.0,0.0,-1.0
baseggio,21.0,32.0,11.0
basegio,6.0,3.0,-3.0
bassadona,5.0,0.0,-5.0
bassana,2.0,0.0,-2.0
bassanello,3.0,0.0,-3.0
bassi,2.0,2.0,0.0
bassini,4.0,0.0,-4.0
basso,4.0,2.0,-2.0
bastarigo,2.0,0.0,-2.0
batagia belloni,1.0,0.0,-1.0
batagia beloni,1.0,0.0,-1.0
bataglini,1.0,0.0,-1.0
battaggia,3.0,0.0,-3.0
battagia,4.0,20.0,16.0
battaglia,1.0,21.0,20.0
battinelli,1.0,0.0,-1.0
battisoi,2.0,0.0,-2.0
battistella,1.0,0.0,-1.0
battisti,10.0,1.0,-9.0
bava,2.0,0.0,-2.0
bavela,2.0,0.0,-2.0
bavella,16.0,2.0,-14.0
bavi tomasini,1.0,0.0,-1.0
bazoni,1.0,0.0,-1.0
beccari,5.0,0.0,-5.0
beccaria,3.0,0.0,-3.0
beccheri,2.0,0.0,-2.0
bedena,1.0,0.0,-1.0
begna,4.0,0.0,-4.0
begniacar,1.0,0.0,-1.0
bei,1.0,0.0,-1.0
belato,2.0,0.0,-2.0
belegno,11.0,0.0,-11.0
belegno erizzo,3.0,0.0,-3.0
beligo,1.0,0.0,-1.0
belilios,2.0,0.0,-2.0
belini,1.0,0.0,-1.0
bellata,1.0,0.0,-1.0
bellato,1.0,10.0,9.0
bellatto,1.0,0.0,-1.0
bellegno,9.0,0.0,-9.0
bellegrno,1.0,0.0,-1.0
belliani,1.0,0.0,-1.0
bellini,1.0,1.0,0.0
