near_squares,further_away
22,12
9,40
46,4
5,12
26,8
6,70
30,30
40,30
28,6
33,27
10,5
65,4
4,32
6,18
12,26
12,14
4,190
2,8
2,40
20,50
14,40
17,10
10,58
14,27
8,5
10,90
7,14
50,60
15,30
10,50
10,50
12,40
71,230
10,40
12,60
18,17
10,40
50,10
4,12
90,6
68,5
4,170
40,52
46,26
10,50
6,165
75,3
14,5
19,10
6,5
8,150
7,24
9,25
13,14
5,12
20,140
10,150
11,120
6,60
140,18
10,36
10,4
6,12
40,10
10,6
7,6
10,80
12,12
12,12
13,10
20,30
3,9
3,11
6,24
60,26
4,22
4,108
16,230
5,70
12,100
12,120
42,98
10,8
12,6
20,8
26,16
24,45
8,3
20,33
15,2
13,3
170,12
6,24
8,12
10,8
13,9
7,7
20,20
3,14
12,14
6,4
18,220
16,6
130,120
16,9
17,40
15,30
12,45
16,14
82,8
14,8
16,32
9,27
8,24
266,50
8,70
18,22
10,6
20,152
50,15
18,6
16,6
12,60
14,105
29,5
8,66
10,66
15,4
5,4
16,7
6,7
26,6
40,6
5,6
8,6
90,5
12,5
7,114
14,10
200,10
32,8
26,55
12,5
14,16
6,40
11,48
3,6
6,10
37,40
75,15
4,4
23,8
6,18
20,10
2,6
3,36
16,4
12,6
80,6
80,6
130,4
6,120
6,34
14,130
10,4
100,22
34,14
10,18
12,20
12,54
12,16
8,15
3,16
10,8
14,16
20,6
40,18
29,36
25,42
40,80
12,4
18,15
40,10
24,8
16,17
6,13
6,30
12,14
10,12
10,6
16,8
14,60
24,43
6,5
16,50
50,15
9,6
6,16
12,5
14,6
46,8
85,8
35,8
8,10
170,40
18,5
24,10
200,42
70,32
51,60
8,10
20,40
4,9
6,10
6,12
10,121
8,15
16,20
16,20
14,22
18,85
38,40
20,60
12,9
28,8
18,10
29,8
16,62
10,10
50,22
2,10
12,12
22,12
36,32
25,10
7,6
4,6
4,8
20,6
20,75
130,16
130,4
22,163
22,131
7,7
7,10
12,12
12,10
6,8
6,16
6,12
6,12
22,10
22,12
10,36
10,10
10,14
10,30
260,28
16,15
4,28
10,6
10,10
5,10
12,6
7,16
10,8
12,50
20,50
6,104
80,56
80,16
8,16
41,18
11,18
16,5
18,5
20,12
95,12
16,57
14,57
14,12
6,10
12,7
53,8
14,8
4,12
15,70
20,25
22,26
32,26
6,11
8,5
6,12
3,47
9,15
9,7
6,36
10,12
10,16
20,16
9,8
5,5
6,50
55,12
160,24
24,20
15,26
12,10
8,27
21,50
8,66
3,24
5,35
4,20
12,35
12,16
24,16
28,12
12,12
210,18
120,10
24,12
18,13
11,12
7,10
7,10
8,16
3,18
12,12
18,8
18,8
6,12
10,6
