question,type,answer_type,n_matches,entity,entity_matches,n_matches_predict,match_acc
What is the average rent price for properties located within 100 meters of a church compared to those further away in 1740?,spatial,numerical,1,"[('church', 'Landmark_Type', 3)]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}]",1,True
Which square has the highest density of nearby tenants in 1740?,spatial,entity_name,1,"[('square', 'Landmark_Type', 3), ('tenants', 'Tenant_Name', 1)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}, {'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'Tenant_Name', 'matches': ['domenego sala']}}]",2,False
Is the price of the rent correlated with the distance from the nearest square in 1740?,spatial,yes/no,1,"[('price', 'Rent_Price', 1), ('rent', 'Rent_Price', 1), ('distance', 'Location', 1), ('square', 'Landmark_Type', 3)]","[{'distance': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle larga']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",2,False
Where are the houses densely located in 1740?,spatial,entity_name,1,"[('houses', 'Building_Functions', 1), ('houses', 'Location', 1), ('houses', 'Location', 2)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['case vecchie', 'case nuove', 'casa con molte affittanze']}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['fondamenta delle case nuove']}}]",3,False
Are low-rent properties clustered in specific areas in 1740?,spatial,yes/no,0,"[('low-rent', 'Rent_Price', 1)]",[],0,True
How many people live within 50 meters of a church in 1740?,spatial,numerical,1,[],[],0,False
"On average, how much more expensive are houses near the squares compared to those further away in 1740?",spatial,numerical,2,"[('houses', 'Building_Functions', 1), ('squares', 'Landmark_Type', 3)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",2,True
How many properties are located around square of San Marco in 1740?,spatial,numerical,2,"[('San Marco', 'Location', 1), ('square', 'Landmark_Type', 3)]","[{'san marco': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['sul secco san iseppo']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",2,True
Are the properties located near San Marco more expensive than the properties located around other squares in 1740?,spatial,yes/no,2,"[('San Marco', 'Location', 1), ('San Marco', 'Location', 2), ('squares', 'Landmark_Type', 3)]","[{'san marco': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['sul secco san iseppo']}}, {'san marco': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['corte sanudo', 'paludo di san giuseppe']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",3,False
On average how far people live from the squares in 1740?,spatial,numerical,1,"[('squares', 'Landmark_Type', 3), ('people', 'Tenant_Name', 1)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'Tenant_Name', 'matches': ['piero plet']}}]",2,False
Are different families closely situated in specific neighborhoods rather than being widespread across the city in 1740?,spatial,yes/no,0,"[('families', 'Owner_Family_Name', 1), ('neighborhoods', 'Location', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'neighborhoods': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle moranda']}}]",2,False
How many churches does each parish have in general in 1740?,spatial,numerical,1,"[('churches', 'Building_Functions', 1), ('parish', 'Parish', 1)]","[{'churches': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['chiesa']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",2,False
Is there a significant difference in rent prices for properties near churches versus squares in 1740?,spatial,yes/no,2,"[('churches', 'Landmark_Type', 3), ('squares', 'Landmark_Type', 3)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",2,True
Are there any spatial clusters of high-rent properties in 1740?,spatial,yes/no,0,"[('high-rent', 'Rent_Price', 1), ('properties', 'Location', 1)]","[{'properties': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['campo']}}]",1,False
What is the name of the most densely populated square in 1740?,spatial,entity_name,1,"[('square', 'Landmark_Type', 3)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",1,True
How many buildings are there per parish on average in 1740?,spatial,numerical,0,"[('parish', 'Parish', 1), ('buildings', 'Building_Functions_Count', 1)]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",1,False
What is the parish with the highest rent price  in 1740?,spatial,entity_name,0,"[('parish', 'Parish', 1), ('rent price', 'Rent_Price', 1)]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",1,False
"Among all the parishes, what is the highest density of buildings with multiple functions  in 1740?",spatial,numerical,0,"[('parishes', 'Parish', 1), ('multiple functions', 'Building_Functions', 1)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa giustina']}}]",1,False
What is the average rent difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,numerical,0,"[('parishes', 'Parish', 1), ('rent price', 'Rent_Price', 1)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa giustina']}}]",1,False
What is the most common function of properties that are closest to a square  in 1740?,functions,entity_name,1,[],[],0,False
Which squares are the centers of various activities based on surrounding property functions in 1740?,functions,entity_name,1,"[('squares', 'Landmark_Type', 3), ('various activities', 'Building_Functions', 1)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",1,True
Are residential properties more closely located to the squares than the commercial properties in 1740?,functions,yes/no,3,"[('residential', 'Building_Functions', 1), ('commercial', 'Building_Functions', 1), ('squares', 'Landmark_Type', 3)]","[{'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['magazzeno', 'calle', 'calle, magazzeno']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",3,True
What is the average distance between workshops and their nearest square in 1740?,functions,numerical,2,"[('workshops', 'Building_Functions', 1), ('square', 'Landmark_Type', 3)]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['magazzeno, orto']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",2,True
Are properties with multiple functions more expensive than the ones with a single function in 1740?,functions,yes/no,0,"[('multiple functions', 'Building_Functions', 1)]",[],0,True
What are the most common combinations of property functions in the dataset in 1740?,functions,entity_name,0,"[('property functions', 'Building_Functions', 1)]",[],0,True
Is there a correlation between property functions and their proximity to the churches in 1740?,functions,yes/no,1,[],[],0,False
Which square is surrounded by the most diverse set of property functions in 1740?,functions,entity_name,1,"[('square', 'Landmark_Type', 3)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",1,True
Is there a correlation between the number of building functions and the rent price in 1740?,functions,yes/no,0,"[('building functions', 'Building_Functions', 1), ('rent price', 'Rent_Price', 1)]",[],0,True
Which square is the biggest commercial hub in 1740?,functions,entity_name,2,"[('square', 'Landmark_Type', 3), ('biggest commercial hub', 'Building_Functions', 1)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",1,False
Which family owns the most number of properties in 1740?,personal,entity_name,0,"[('family', 'Owner_Family_Name', 1)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}]",1,False
Is there any correlation between the family name and the profession in 1740?,personal,yes/no,0,"[('family name', 'Owner_Family_Name', 1), ('profession', 'Owner_Profession', 1)]","[{'family name': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['bembo frattina']}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['medico', 'illustrissimo medico', 'dottor']}}]",2,False
Are different families wide spread across the city or closely situated in certain neighborhoods in 1740?,personal,yes/no,0,"[('families', 'Owner_Family_Name', 1), ('neighborhoods', 'Parish', 1), ('neighborhoods', 'District', 2), ('neighborhoods', 'Location', 1), ('neighborhoods', 'Location', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'neighborhoods': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['ghetto nuovissimo', 'ghetto nuovo', 'ghetto vecchio']}}, {'neighborhoods': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle moranda']}}, {'neighborhoods': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['calle', 'calle e corte del casin', 'calle delle case rote']}}]",4,False
Are there any spatial clusters of buildings owned by the same family in 1740?,personal,yes/no,0,[],[],0,True
How many lawyers are there in Venice in 1740?,personal,numerical,1,"[('lawyers', 'Owner_Profession', 1)]","[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['avvocato', 'avocato']}}]",1,True
In which parish do lawyers own the most number of properties in 1740?,personal,entity_name,1,"[('lawyers', 'Owner_Profession', 1), ('parish', 'Parish', 1)]","[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['avvocato', 'avocato']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",2,False
Is there a significant difference in rent prices based on the profession of the property owner in 1740?,personal,yes/no,0,"[('profession', 'Owner_Profession', 1), ('rent price', 'Rent_Price', 1)]","[{'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['medico', 'illustrissimo medico', 'dottor']}}]",1,False
What is the most common building functions of properties owned by the same family in 1740?,personal,entity_name,0,"[('same family', 'Owner_Family_Name', 1), ('building functions', 'Building_Functions', 1)]","[{'same family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['cumana', 'bembo frattina']}}]",1,False
Are there any notable family alliances or rivalries suggested by the spatial distribution of properties in 1740?,personal,yes/no,0,"[('family', 'Owner_Family_Name', 1), ('properties', 'Location', 1)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}, {'properties': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['campo']}}]",2,False
Do certain professions tend to own properties with specific functions in 1740?,personal,yes/no,0,"[('professions', 'Owner_Profession', 1), ('functions', 'Building_Functions', 1)]","[{'professions': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['medico', 'illustrissimo medico', 'dottor']}}]",1,False
How many families were relocated by more than 1km from 1740 to 1808?,comparison_geolocation,numerical,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Tenant_Name', 2), ('1km', 'Latitude', 1), ('1km', 'Longitude', 1), ('1km', 'Latitude', 2), ('1km', 'Longitude', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}]",1,False
What is the average distance moved by families who owned properties in both 1740 and 1808?,comparison_geolocation,numerical,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}]",2,False
Are there any specific areas in Venice where families tended to relocate to more frequently from 1740 to 1808?,comparison_geolocation,entity_name,0,"[('specific areas', 'Location', 1), ('specific areas', 'District', 2), ('families', 'Owner_Family_Name', 1)]","[{'specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['campo']}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}]",2,False
