question,query,matched_contents,generated_query
"How many properties are there in ""la calle vicina al campiel dal panizza in arzere""?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';","""Property_Location"" = ""la calle vicina al campiel dal panizza in arzere""","[""SELECT COUNT(catastici.Property_Type)\nFROM catastici\nWHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT COUNT(catastici.ID)\nFROM catastici\nWHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;"", ""SELECT COUNT(*)\nFROM catastici\nWHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ;"", ""SELECT COUNT(catastici.Property_Location)\nFROM catastici\nWHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;""]"
"What is the lowest income of ""francesco"" ""giustinian""?","SELECT MIN(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'giustinian';","""Owner_First_Name"" = ""francesco""
""Owner_First_Name"" = ""giustinian""","[""SELECT MIN(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Owner_First_Name = 'francesco' \nAND catastici.Owner_Family_Name = 'giustinian';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT MIN(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'giustinian';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT MIN(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'giustinian';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Rent_Income\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'giustinian'\nORDER BY catastici.Rent_Income ASC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;""]"
List all the types of properties in the dataset.,"SELECT DISTINCT catastici.Property_Type 
FROM catastici;",None,"['SELECT DISTINCT catastici.Property_Type \nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT DISTINCT catastici.Property_Type\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;', 'SELECT catastici.Property_Type\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT catastici.Property_Type \nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;']"
"Who are the owners of the properties located at ""corte de cà celsi""?","SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
WHERE catastici.Property_Location = 'corte de cà celsi';","""Property_Location"" = ""corte de cà celsi""","[""SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nWHERE catastici.Property_Location = 'corte de cà celsi';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;"", ""SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nWHERE catastici.Property_Location = 'corte de cà celsi';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;"", ""SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'corte de cà celsi';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici \nWHERE catastici.Property_Location = 'corte de cà celsi';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;""]"
"What are the types of properties owned by ""francesco"" ""patarol""?","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol';","""Owner_First_Name"" = ""francesco""
""Owner_Family_Name"" = ""patarol""","[""SELECT catastici.Property_Type\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Property_Type\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol'\nORDER BY catastici.Property_Type;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;"", ""SELECT catastici.Property_Type\nFROM catastici\nWHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol'\nORDER BY catastici.Property_Type ASC;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;""]"
Which properties have a rent income higher than 50 ducati?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type, catastici.Rent_Income, catastici.Property_Location 
FROM catastici 
WHERE catastici.Rent_Income > 50;",None,"['SELECT catastici.Property_ID \nFROM catastici \nWHERE catastici.Rent_Income > 50;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_ID, catastici.Rent_Income\nFROM catastici\nWHERE catastici.Rent_Income > 50;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT catastici.Property_ID, catastici.Rent_Income \nFROM catastici \nWHERE catastici.Rent_Income > 50;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT catastici.Property_ID \nFROM catastici \nWHERE catastici.Rent_Income > 50\nLimit 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ;']"
Which property type generates the highest total rent income?,"SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS Total_Rent_Income
FROM catastici
GROUP BY catastici.Property_Type
ORDER BY Total_Rent_Income DESC
LIMIT 1;",None,"['SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nGROUP BY catastici.Property_Type\nORDER BY Total_Rent_Income DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS ""Total_Rent_Income""\nFROM catastici\nGROUP BY catastici.Property_Type\nORDER BY ""Total_Rent_Income"" DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nGROUP BY catastici.Property_Type\nORDER BY Total_Rent_Income DESC;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nGROUP BY catastici.Property_Type\nORDER BY Total_Rent_Income DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\ncolumns info :\nID -- Primary key ;']"
"What are the property types located in ""teren alli gesouiti""?","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Property_Location = 'teren alli gesouiti';","""Property_Location"" = ""teren alli gesouiti""","[""SELECT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'teren alli gesouiti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type \nFROM catastici \nWHERE catastici.Property_Location = 'teren alli gesouiti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'teren alli gesouiti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;"", ""SELECT catastici.Property_Type \nFROM catastici \nWHERE catastici.Property_Location = 'teren alli gesouiti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;""]"
"Which people own a ""bottega"" in ""fondamenta in fazza la beccaria""?","SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name 
FROM catastici 
WHERE catastici.Property_Type = 'bottega' AND catastici.Property_Location = 'fondamenta in fazza la beccaria';","""Property_Type"" = ""bottega""
""Property_Location"" = ""fondamenta in fazza la beccaria""","[""SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Type = 'bottega' AND catastici.Property_Location = 'fondamenta in fazza la beccaria';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'fondamenta in fazza la beccaria' AND catastici.Property_Type = 'bottega';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Owner_ID, catastici.Owner_First_Name, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'fondamenta in fazza la beccaria' AND catastici.Property_Type = 'bottega';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT catastici.Owner_ID, catastici.Owner_First_Name, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Type = 'bottega' AND catastici.Property_Location = 'fondamenta in fazza la beccaria';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;""]"
What is the lowest rent income in the dataset?,"SELECT MIN(catastici.Rent_Income) AS Lowest_Rent_Income
FROM catastici;",None,"['SELECT MIN(catastici.Rent_Income) AS min_rent_income\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT MIN(catastici.Rent_Income) AS lowest_rent_income\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT MIN(catastici.Rent_Income) AS max_rent_income\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT MIN(catastici.Rent_Income) AS min_rent_income\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\nmatched contents : None\nWhat is the average rent income in the dataset?\nSELECT AVG(catastici.Rent_Income) AS avg_rent_income\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text )']"
