Owner_First_Name,Owner_Family_Name,Property_Type,Property_Location,Rent_Income
Liberal,CAMPI,casa e bottega da barbier,Campo vicino alla Chiesa,70 ducati
Filippo,FRARI,casa,Campo vicino alla Chiesa,60 ducati
Filippo,FRARI,bottega da strazariol,Campo vicino alla Chiesa,4 ducati
Agostin,FILIPPI,casa e bottega da tentor,Campo vicino alla Chiesa,70 ducati
Ottavio,BERTOTTI,magazen,Campo vicino alla Chiesa,22 ducati
Ottavio,BERTOTTI,mezà,Campo vicino alla Chiesa,12 ducati
Bortolamio,MUSITELLI,cas vuota,Campo vicino alla Chiesa,24 ducati
Giacomo,BERTIN,casa,Campo vicino alla Chiesa,100 ducati
Giovanni Francesco,MORSONI,casa,Traghetto di Murano,180 ducati
,LIPOMANO,casa,Traghetto di Murano,80 ducati
,LIPOMANO,casa,Traghetto di Murano,100 ducati
,LIPOMANO,casa,Calle del Traghetto,38 ducati
Giovannio Francesco,MOROSINI,casa,Calle del Traghetto,42 ducati
Giovanni Francesco,MOROSINI,casa,Calle del Traghetto,42 ducati
,LIPOMANO,casa,Calle del Traghetto,50 ducati
Antonio,BELLEGRNO,casa,Appresso Calle Morosini,80 ducati
Paolo,BELLEGNO,casa,Appresso Calle Morosini,60 ducati
Giovanni Francesco,MOROSINI,casa,Appresso Calle Morosini,24 ducati
Giovanni Francesco,MOROSINI,casa,Appresso Calle Morosini,24 ducati
Giovanni Francesco,MOROSINI,bottega da confetti,Appresso Calle Morosini,15 ducati
Giovanni Francesco,MOROSINI,casa a pepian,Appresso Calle Morosini,10 ducati
Giovanni Francesco,MOROSINI,casa e bottega,Appresso Calle Morosini,53 ducati
Giovanni Francesco,MOROSINI,bottega da calegher,Appresso Calle Morosini,16 ducati
Giovanni Francesco,MOROSINI,casa e bottega,Appresso Calle Morosini,30 ducati
Andrea,CORNEL,casa,Calle della Regina,12 ducati
Giovanni Francesco,MOROSINI,bottega da careghetta,Campiello della Cason,14 ducati
Giovanni Francesco,MOROSINI,magazen,Campiello della Cason,9 ducati
Giovanni Francesco,MOROSINI,magazen,Campiello della Cason,46 ducati
Giovanni Francesco,MOROSINI,casa,Campiello della Cason,230 ducati
Paolina,DUODO,casa,Campiello della Cason,106 ducati
Paolina,DUODO,casa,Campiello della Cason,85 ducati
Francesco Maria,SEGALLA,casa,Campiello della Cason,44 ducati
Giuseppe,GUERRIER,casa,Campiello della Cason,80 ducati
,RINALDI,casa,Campiello della Cason,84 ducati
,SPINALDI,magazen,Campiello della Cason,12 ducati
Giovanni Francesco,MOROSINI,casa,Campiello della Cason,74 ducati
Giovanni Francesco,MOROSINI,casa,Campiello della Cason,32 ducati
Alvise,SORANZO,casa e bottega da malvasia,Campiello della Cason,10 ducati
Angelo,GRASSI,bottega da oglio,Salizada appresso la Chiesa,50 ducati
Giacomo,BERTOTTI,bottega da zavater,Salizada appresso la Chiesa,20 ducati
Ottevaio,BERTOTTI,bottega da scaleter e inviamento,Salizada appresso la Chiesa,30 ducati
Lorenzo,TIEPOLO,magazen,Salizada appresso la Chiesa,5 ducati
Lorenzo,TIEPOLO,bottega,Salizada appresso la Chiesa,24 ducati
Lorenzo,TIEPOLO,casa,Salizada appresso la Chiesa,130 ducati
Lodovico,MANIN,casa,Salizada appresso la Chiesa,135 ducati
Zorzi,CONTARINI,casa,Salizada appresso la Chiesa,180 ducati
Lorenzo,TIEPOLO,bottega da erbariol,Salizada appresso la Chiesa,12 ducati
,ACQUISTI,bottega calzetta,Salizada appresso la Chiesa,20 ducati
,ACQUISTI,bottega vendi sal,Salizada appresso la Chiesa,20 ducati
Anna Maria,CARUA,bottega da barbier,Salizada appresso la Chiesa,20 ducati
