district,location,building_area,owner_family_name,owner_first_name,building_functions_count,building_functions,longitude,latitude
san marco,parrocchia di s. fantino,168.644,molin,marco,1,casa,12.334478491194668,45.434066265170834
san marco,parrocchia di s. fantino,168.644,todarini,ferdinando,1,casa,12.334478491194668,45.434066265170834
san marco,parrocchia di s. fantino,168.644,molin,marco,1,casa,12.334534496043398,45.434012297059816
san marco,parrocchia di s. fantino,168.644,todarini,ferdinando,1,casa,12.334534496043398,45.434012297059816
san marco,parrocchia di s. angelo,262.716,trevisani,giacomo,2,"bottega, casa",12.33330436923513,45.4344001803324
san polo,calle dei varoteri detta di mezzo,28.589,de giacomi,giovanni battista,2,"bottega, volta",12.335116690981442,45.43899193136069
san polo,calle dei varoteri detta di mezzo,29.079,negri monticano,maddalena,1,bottega,12.335059019832254,45.43903262572189
san polo,sottoportico cordaria,51.871,trombeta,marco,1,bottega,12.334938099290277,45.43917008558204
san polo,sottoportico cordaria,51.871,latti,antonio,1,bottega,12.334938099290277,45.43917008558204
san polo,sottoportico cordaria,28.982,negri,michelangelo,1,bottega,12.334981891605908,45.439140347975005
san polo,sottoportico cordaria,27.002,tan,pietro,1,bottega,12.335011386002666,45.43912019548872
san polo,sottoportico cordaria,30.108,coco,andrea,1,bottega,12.335040920361996,45.439100012005234
san polo,sottoportico cordaria,26.56,mocenigo,alvise,1,bottega,12.335069905675832,45.43908047778915
san marco,calle del ridotto,111.942,albrizzi,vincenzo,1,casa,12.336467403056234,45.43272227284223
san polo,sottoportico cordaria,29.271,negri,michele,1,bottega,12.335128518500415,45.43904010756247
san polo,sottoportico cordaria,29.271,negri,osvaldo,1,bottega,12.335128518500415,45.43904010756247
san polo,casaria,31.342,nadalini,alvise,1,bottega,12.33530313956555,45.43904550581523
san polo,casaria,25.811,condulmer,antonio,1,bottega,12.33513601841303,45.43915003459884
san marco,calle del ridotto,127.545,pasquali,francesco,2,"casa, corto",12.3363374161401,45.43269717812673
san polo,casaria,50.638,scagio,giacomo,1,bottega,12.335225580073336,45.43911872473083
san polo,casaria,67.787,acerboni,pietro,1,bottega,12.335152825760025,45.439176589894
san polo,casaria,67.787,contarini,bertucci,1,bottega,12.335152825760025,45.439176589894
san polo,casaria,17.654,mocenigo damula,polissena,1,bottega,12.335099203950932,45.43921922351036
san polo,casaria,75.676,contarini,bertucci,1,bottega,12.335043827239588,45.43924910829635
san polo,casaria,21.213,piazza,domenico,1,bottega,12.33504530725446,45.4393505059834
san polo,casaria,19.68,balbi,rizzardo,1,bottega,12.335015168972983,45.439370970805626
san polo,casaria,26.026,moroni,lorenzo,1,bottega,12.334984427682553,45.43939247473546
san polo,casaria,26.855,dolfin,alessandro,1,bottega,12.334951049439203,45.43941557743705
san polo,casaria,27.172,lanterna,bartolomeo,1,bottega,12.334918805880935,45.439437729573584
san marco,calle del ridotto,145.24,contarini,andrea,1,casa,12.33645085395919,45.43277432741184
san polo,casaria,27.65,ongareto,almorò,1,bottega,12.334885801925116,45.43945880616965
san polo,casaria,29.854,corena,carlo,1,bottega,12.33485171165897,45.43948126413169
san polo,casaria,54.046,correr pesaro,andriana,1,bottega,12.33470670368964,45.439575513083824
san polo,casaria,28.36,rizzetti,luigi,1,bottega,12.334724628097492,45.43961284947388
san polo,casaria,27.04,barati,silvestro,1,bottega,12.33475664921232,45.43959223200267
san polo,casaria,33.53,contarini,bertucci,1,bottega,12.334790476541729,45.43957101720287
san polo,casaria,28.237,baccanello,alvise,1,bottega,12.334824655089594,45.43954974033085
san polo,casaria,28.225,ferrari,filippo,1,bottega,12.33485465433402,45.43953040028178
san polo,casaria,28.225,varesti,giacomo,1,bottega,12.33485465433402,45.43953040028178
san polo,casaria,25.428,priuli canal,marina,1,bottega,12.334882288768888,45.4395126552302
san marco,calle del ridotto,99.944,vianello,giuseppe,1,casa,12.336310420312875,45.43274540312407
san polo,casaria,43.732,zuliani,osvaldo,1,bottega,12.334917807095133,45.43949099912156
san polo,casaria,70.66,barbarigo,alvise,1,bottega,12.335004116278776,45.43943091179127
san polo,casaria,56.449,contarini,niccolò,1,bottega,12.335063955614482,45.43938323519493
san polo,casaria,56.449,zampiceni,bartolomeo,1,bottega,12.335063955614482,45.43938323519493
san polo,casaria,56.449,guerra,giovanni andrea,1,bottega,12.335063955614482,45.43938323519493
san polo,corderia seconda,49.125,zanardelli,francesco,1,bottega,12.334647896995996,45.43951798888923
san polo,corderia seconda,44.809,mocenigo,alvise,1,bottega,12.33469576420292,45.439487182707246
san polo,corderia seconda,36.917,appostoli,elena,1,bottega,12.334737636447718,45.43946041925561
san polo,corderia seconda,61.418,grimani,giovanni carlo,1,bottega,12.334788286023745,45.43942830504656
san polo,corderia seconda,26.232,zen,sebastiano,1,bottega,12.334833247186484,45.43939927202978
san polo,corderia seconda,24.519,generini,giovanni maria,1,bottega,12.3348598906704,45.439382884016005
san marco,calle del ridotto,134.214,dona',giulio,1,casa,12.336423720077962,45.43282793397771
san marco,calle del ridotto,134.214,cortinovis,pietro,1,casa,12.336423720077962,45.43282793397771
san marco,calle del ridotto,134.214,cortinovis,domenico,1,casa,12.336423720077962,45.43282793397771
san marco,calle del ridotto,134.214,dona',giulio,1,casa,12.336423720077962,45.43282793397771
san marco,calle del ridotto,134.214,cortinovis,pietro,1,casa,12.336423720077962,45.43282793397771
san marco,calle del ridotto,134.214,cortinovis,domenico,1,casa,12.336423720077962,45.43282793397771
san polo,corderia seconda,30.726,astori,vincenzo,1,bottega,12.334888133281696,45.43936434095389
san polo,corderia seconda,30.726,calliari fantinelli,domenico,1,bottega,12.334888133281696,45.43936434095389
san polo,corderia seconda,58.455,pisani barbarigo,chiara,1,bottega,12.334934672362282,45.43933502799936
san polo,corderia seconda,58.455,morosini,loredana,1,bottega,12.334934672362282,45.43933502799936
san polo,corderia seconda,27.608,grimani,giovanni carlo,1,bottega,12.334979543308034,45.43930654499586
san polo,calle della vienna detta regazzoni,126.321,barbarigo,alvise,2,"bottega, volta",12.33487278383572,45.43925380780234
san polo,calle della vienna detta regazzoni,126.321,pesaro,pietro,1,casa,12.33487278383572,45.43925380780234
san polo,calle della vienna detta regazzoni,126.321,barbarigo,niccolò,1,casa,12.33487278383572,45.43925380780234
san polo,calle della vienna detta regazzoni,126.321,cossali,doralice,1,casa,12.33487278383572,45.43925380780234
san polo,calle della vienna detta regazzoni,115.831,ferrari,bartolomeo,2,"bottega, volta",12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,contarini mocenigo,daniela polissena,2,"bottega, volta",12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,dona',gerolamo,1,casa,12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,bembo,francesco,1,casa,12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,cossali,doralice,1,casa,12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,gradenigo,fucci pietro,1,casa,12.334781419557885,45.43918207069171
san polo,calle della vienna detta regazzoni,115.831,ferrari,bartolomeo,2,"bottega, volta",12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,115.831,contarini mocenigo,daniela polissena,2,"bottega, volta",12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,115.831,dona',gerolamo,1,casa,12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,115.831,bembo,francesco,1,casa,12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,115.831,cossali,doralice,1,casa,12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,115.831,gradenigo,fucci pietro,1,casa,12.334819474661964,45.43921230261611
san polo,calle della vienna detta regazzoni,118.74,bembo,francesco,1,casa,12.334710317698336,45.43912936247625
san polo,calle della vienna detta regazzoni,118.74,pesaro,pietro,1,casa,12.334710317698336,45.43912936247625
san polo,calle della vienna detta regazzoni,118.74,gradenigo,fucci pietro,1,casa,12.334710317698336,45.43912936247625
