question,answer,answer_generated
Who owns a property casa soler in Piscina with the family name of DA MOSTO?,Francesco,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa soler in Piscina with the family name of DA MOSTO?
### Answer:  Antonio Maria Domenico Gaetano MARCHESATI LARDONI ZEN located in Calle della Madona
### Question: What type of property does Alvise BARBARIGO own in Salizada per"
What is the family name of Mattio who owns Casa a pepian in Calle de Furlani?,PIZZAMANO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Mattio who owns Casa a pepian in Calle de Furlani?
### Answer: 2 libertà di traghetto da barbari in calle di San Boldo corroborata dal lovato di Simon Luca Zanardi di Cocco ""Lucciarini"" per servire a sua porzione"
How much does Andrea VENDRAMIN earn from their property Case due con bottega da spicier in In Calle Larga vicin al campo?,165 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Andrea VENDRAMIN earn from their property Case due con bottega da spicier in In Calle Larga vicin al campo?
### Answer: 82 ducati, 6 grossi, 5 piccoli, 3 minuti per carità di Cristo Re
### Question: Who owns another property Casa e Bottega da fabro in Campo Grande with the"
How much does Todaro CORRER earn from their property Casa vuota in Campiel di Ka Zen?,42 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Todaro CORRER earn from their property Casa vuota in Campiel di Ka Zen?
### Answer: 26 ducati, 3 grossi, 5 piccoli, 3 piccoli, 9 grossi, e 8 piccoli, 10 grossi per carità di detta casa vuota con il luogo della"
How much does Paolo BOLDU earn from their property procuratia in Calle del Capello?,300 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Paolo BOLDU earn from their property procuratia in Calle del Capello?
### Answer: 36 ducati, 2 grossi, 8 grossi, 9 grossi, 5 grossi per carità di Cristo Rezzonico con cognome TREVISANEOLOZZI e Maria R"
Where is the property casa of Zuanne MANOLESSO located?,Corte dalla Vida,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Zuanne MANOLESSO located?
### Answer: 2 affittanze di detta casa in Calle della Vida Vecchia corrona alla Stretto di Ka' Molin with nan ZULIANI NODARA BONFADINI | NODARA B"
How much does Francesco NEGRI earn from their property appartamento di casa in Corte Massarini?,30 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Francesco NEGRI earn from their property appartamento di casa in Corte Massarini?
### Answer: 25 ducati, 8 grossi pani venerdi e domenichirno alle hora d'oro e d'argento, con licentia d'avere affittata una camera in soler per proprio"
Who owns a property Casa in Calle di Ca' Mocenigo Casa Vecchia with the family name of SPERON?,Andrea,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa in Calle di Ca' Mocenigo Casa Vecchia with the family name of SPERON?
### Answer:  Antonio Maria SPERONI FELEGNI PICCHI located in Corte del Tagliapietra sopra la stessa fondamenta
### Question: What type of property does Giovanni Francesco BARBARO own in R"
Where is the property casa of Michiel MOROSINI located?,Calle dei Botteri,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Michiel MOROSINI located?
### Answer: 2 affittanze di detta casa in Corte Morosina San Iseppo in calle Larga per Venezia e Terra di Cà Badoer et altra calle li Tagliapietra et alti Rialto"
Who owns a property Casa in Soler in Calle del Redivo in Calle de Fabri with the family name of BIONDI NODARO?,Francesco,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa in Soler in Calle del Redivo in Calle de Fabri with the family name of BIONDI NODARO?
### Answer:  Cattarina Maria Angela Giustina TOMASINI PISANI | TOMASINI PISANI FONTEGNA | TOMASINI PISANI FONTEGNA
##"
What is the family name of Giovanni Battista who owns appartamento vuoto in Resto di calle delle Rasse?,TRAVERSI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Giovanni Battista who owns appartamento vuoto in Resto di calle delle Rasse?
### Answer:  ZENIVERO CANALIERI FELTRETTI PISANI | _consorte NOVELLA BARBARIGO | NOVELLA BARBARIGO | _consorte"
How much does Francesco MOSTO earn from their property Casa in Volta de Canal?,60 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Francesco MOSTO earn from their property Casa in Volta de Canal?
### Answer: 26 ducati, 18 grossi, 5 minuti, 3 bottoni per un anno, paga il 9 novembre 1740 con la sottosignatura di casa e bottega da spe"
Who owns a property Camera d'altra in Rio delle Fornase with the family name of PEL?,Alessandro,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Camera d'altra in Rio delle Fornase with the family name of PEL?
### Answer:  Alvise Antonio | _erede | RENIER | RENIER PISANI | (none) | None | None | None | None | None | None | None | None | None
### Question: What"
What type of property does Paolo TOMAGNIN own in Rio delle fornase fondamenta del Specier?,casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Paolo TOMAGNIN own in Rio delle fornase fondamenta del Specier?
### Answer: 2 case e bottega da spezier con volta d'orazan per uso della stessa casa di sopra vuota altra volte da acquistare è una casetta per suo uso ed altro suo uso di pistoria per"
Who owns a property Casa n.10 in Corte Nova with the family name of HERTZ?,Giovanni Giacomo,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa n.10 in Corte Nova with the family name of HERTZ?
### Answer:  Antonio Maria Francesco SCHIERA GARDANI PARUTTI | SCHIERA GARDANI PARUTTI"
